"","ensgene","name","module","mm"
"332","uc009vuc.3","uc009vuc.3","turquoise",0.378563488670394
"333","uc001bvb.1","uc001bvb.1","lightgreen",0.193134609033178
"334","uc001bvd.4","uc001bvd.4","lightgreen",0.5356132262646
"335","uc001bvf.3","uc001bvf.3","purple",0.165993845381954
"336","uc001bvg.4","uc001bvg.4","darkorange",0.10671043821111
"337","uc001bvl.4","uc001bvl.4","darkorange",0.146423107774554
"338","uc001bvn.3","uc001bvn.3","orange",0.185608789045715
"339","uc001bvp.3","uc001bvp.3","cyan",0.219829776469678
"340","uc001bvr.3","uc001bvr.3","green",0.25587285689073
"341","uc010ohm.1","uc010ohm.1","plum1",0.349446047778297
"342","uc001bvw.1","uc001bvw.1","orangered4",0.265669076828611
"343","uc001bwb.2","uc001bwb.2","saddlebrown",0.253353799026348
"344","uc001bwe.3","uc001bwe.3","orange",0.118407351373825
"345","uc001bwh.3","uc001bwh.3","midnightblue",0.920487497177399
"346","uc001bwi.1","uc001bwi.1","yellowgreen",0.158857100265886
"347","uc010oho.2","uc010oho.2","lightcyan",0.127548391166466
"348","uc001bwn.3","uc001bwn.3","orangered4",0.25055066801255
"349","uc001bwp.2","uc001bwp.2","saddlebrown",0.185849788070372
"350","uc001bwx.1","uc001bwx.1","darkmagenta",0.238435285880636
"351","uc001bxb.3","uc001bxb.3","lightyellow",0.281056417586362
"352","uc001bxc.1","uc001bxc.1","yellowgreen",0.246581163121037
"353","uc001bxe.1","uc001bxe.1","saddlebrown",0.334485758766968
"354","uc021okx.1","uc021okx.1","salmon",0.235797734912749
"355","uc001bxj.4","uc001bxj.4","greenyellow",0.148316702828236
"356","uc001bxm.1","uc001bxm.1","saddlebrown",0.206523587306992
"357","uc021ola.1","uc021ola.1","yellow",0.974784929920342
"358","uc001byb.3","uc001byb.3","skyblue",0.175677513459826
"359","uc001byc.3","uc001byc.3","darkturquoise",0.619767177741897
"360","uc001bye.3","uc001bye.3","orange",0.200869697251439
"361","uc001byh.3","uc001byh.3","white",0.156301364234111
"362","uc001byl.1","uc001byl.1","darkgrey",0.188966933266487
"363","uc001byq.3","uc001byq.3","darkred",0.233860448921564
"364","uc001byp.3","uc001byp.3","orange",0.150639724726749
"365","uc001bys.3","uc001bys.3","grey60",0.318103442826796
"366","uc001byt.3","uc001byt.3","orangered4",0.204702361618198
"367","uc031plr.1","uc031plr.1","magenta",0.15387872232582
"368","uc001byx.3","uc001byx.3","black",0.186993408688526
"369","uc001bza.3","uc001bza.3","cyan",0.3319730932433
"370","uc001bzd.2","uc001bzd.2","lightyellow",0.146534852144509
"371","uc010ohy.2","uc010ohy.2","darkturquoise",0.233153173665821
"372","uc001bzh.1","uc001bzh.1","brown",0.228299550917855
"373","uc009vux.3","uc009vux.3","greenyellow",0.166418569002368
"374","uc001bzj.2","uc001bzj.2","brown",0.201520656098861
"375","uc001bzk.3","uc001bzk.3","magenta",0.170907312844818
"376","uc001bzm.1","uc001bzm.1","brown",0.245537413321964
"377","uc001bzn.1","uc001bzn.1","darkturquoise",0.2380207641613
"378","uc001bzt.3","uc001bzt.3","paleturquoise",0.19104399842824
"379","uc001bzx.4","uc001bzx.4","brown",0.150843530869151
"380","uc001bzz.3","uc001bzz.3","purple",0.177844680997889
"381","uc001cae.4","uc001cae.4","turquoise",0.270256801604277
"382","uc001caf.4","uc001caf.4","greenyellow",0.12951750882311
"383","uc010oib.1","uc010oib.1","saddlebrown",0.293983593555705
"384","uc001cam.1","uc001cam.1","purple",0.177194807904412
"385","uc001cao.1","uc001cao.1","darkgrey",0.238716461047318
"386","uc001caq.3","uc001caq.3","plum1",0.253054702334769
"387","uc021olk.1","uc021olk.1","paleturquoise",0.155866670285647
